Designator, Val, Package, Mid X, Mid Y, Rotation, Layer
"D67","LED_RED","LED_0603_1608Metric_Castellated",59.690000,-107.315000,270.000000,top
"D68","LED_RED","LED_0603_1608Metric_Castellated",62.230000,-107.315000,270.000000,top
"D69","LED_RED","LED_0603_1608Metric_Castellated",64.770000,-107.315000,270.000000,top
"D70","LED_RED","LED_0603_1608Metric_Castellated",67.310000,-107.315000,270.000000,top
"D71","LED_RED","LED_0603_1608Metric_Castellated",69.850000,-107.315000,270.000000,top
"D72","LED_RED","LED_0603_1608Metric_Castellated",72.390000,-107.315000,270.000000,top
"D73","LED_RED","LED_0603_1608Metric_Castellated",74.930000,-107.315000,270.000000,top
"D74","LED_RED","LED_0603_1608Metric_Castellated",77.470000,-107.315000,270.000000,top
"D75","LED_RED","LED_0603_1608Metric_Castellated",80.010000,-107.315000,270.000000,top
"D76","LED_RED","LED_0603_1608Metric_Castellated",82.550000,-107.315000,270.000000,top
"D77","LED_RED","LED_0603_1608Metric_Castellated",85.090000,-107.315000,270.000000,top
"D78","LED_RED","LED_0603_1608Metric_Castellated",87.630000,-107.315000,270.000000,top
"D79","LED_RED","LED_0603_1608Metric_Castellated",90.170000,-107.315000,270.000000,top
"D80","LED_RED","LED_0603_1608Metric_Castellated",92.710000,-107.315000,270.000000,top
"D81","LED_RED","LED_0603_1608Metric_Castellated",95.250000,-107.315000,270.000000,top
"D82","LED_RED","LED_0603_1608Metric_Castellated",97.790000,-107.315000,270.000000,top
"D83","LED_RED","LED_0603_1608Metric_Castellated",100.330000,-107.315000,270.000000,top
"D84","LED_RED","LED_0603_1608Metric_Castellated",102.870000,-107.315000,270.000000,top
"D85","LED_RED","LED_0603_1608Metric_Castellated",105.410000,-107.315000,270.000000,top
"D86","LED_RED","LED_0603_1608Metric_Castellated",107.950000,-107.315000,270.000000,top
"D87","LED_RED","LED_0603_1608Metric_Castellated",110.490000,-107.315000,270.000000,top
"D88","LED_RED","LED_0603_1608Metric_Castellated",113.030000,-107.315000,270.000000,top
"D89","LED_RED","LED_0603_1608Metric_Castellated",115.570000,-107.315000,270.000000,top
"D90","LED_RED","LED_0603_1608Metric_Castellated",118.110000,-107.315000,270.000000,top
"D91","LED_RED","LED_0603_1608Metric_Castellated",120.650000,-107.315000,270.000000,top
"D92","LED_RED","LED_0603_1608Metric_Castellated",123.190000,-107.315000,270.000000,top
"D93","LED_RED","LED_0603_1608Metric_Castellated",125.730000,-107.315000,270.000000,top
"D94","LED_RED","LED_0603_1608Metric_Castellated",128.270000,-107.315000,270.000000,top
"D95","LED_RED","LED_0603_1608Metric_Castellated",130.810000,-107.315000,270.000000,top
"D96","LED_RED","LED_0603_1608Metric_Castellated",133.350000,-107.315000,270.000000,top
"D97","LED_RED","LED_0603_1608Metric_Castellated",54.610000,-83.185000,270.000000,top
"D98","LED_RED","LED_0603_1608Metric_Castellated",57.150000,-83.185000,270.000000,top
"D99","LED_RED","LED_0603_1608Metric_Castellated",59.690000,-83.185000,270.000000,top
"D100","LED_RED","LED_0603_1608Metric_Castellated",62.230000,-83.185000,270.000000,top
"D101","LED_RED","LED_0603_1608Metric_Castellated",64.770000,-83.185000,270.000000,top
"D102","LED_RED","LED_0603_1608Metric_Castellated",67.310000,-83.185000,270.000000,top
"D103","LED_RED","LED_0603_1608Metric_Castellated",69.850000,-83.185000,270.000000,top
"D104","LED_RED","LED_0603_1608Metric_Castellated",72.390000,-83.185000,270.000000,top
"D105","LED_RED","LED_0603_1608Metric_Castellated",74.930000,-83.185000,270.000000,top
"D106","LED_RED","LED_0603_1608Metric_Castellated",77.470000,-83.185000,270.000000,top
"D107","LED_RED","LED_0603_1608Metric_Castellated",80.010000,-83.185000,270.000000,top
